% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
264	2	4	78	0	28	549	0	1	1
265	1	9	39	0	28	549	0	1	0
265	2	9	39	0	28	549	0	1	1
266	1	12	82	0	28	549	0	1	0
266	2	12	82	0	28	549	0	1	1
267	1	2	50	0	28	549	0	1	0
267	2	2	50	0	28	549	0	1	1
268	1	14	1	0	28	549	0	1	0
268	2	14	1	0	28	549	0	1	1
269	1	1	87	0	28	549	0	1	0
269	2	1	87	0	28	549	0	1	1
270	1	11	58	0	28	549	0	1	0
270	2	11	58	0	28	549	0	1	1
271	1	15	12	0	28	549	0	1	0
271	2	15	12	0	28	549	0	1	1
272	1	6	91	0	28	549	0	1	0
272	2	6	91	0	28	549	0	1	1
273	1	10	63	0	28	549	0	1	0
273	2	10	63	0	28	549	0	1	1
274	1	5	20	0	28	549	0	1	0
274	2	5	20	0	28	549	0	1	1
275	1	13	94	0	28	549	0	1	0
275	2	13	94	0	28	549	0	1	1
276	1	3	96	0	28	549	0	1	0
276	2	3	96	0	28	549	0	1	1
277	1	8	71	0	28	549	0	1	0
277	2	8	71	0	28	549	0	1	1
278	1	7	29	0	28	549	0	1	0
278	2	7	29	0	28	549	0	1	1
279	1	4	78	0	28	549	0	1	0
279	2	4	78	0	28	549	0	1	1
280	1	9	39	0	28	549	0	1	0
280	2	9	39	0	28	549	0	1	1
281	1	12	82	0	28	549	0	1	0
281	2	12	82	0	28	549	0	1	1
282	1	2	50	0	28	549	0	1	0
282	2	2	50	0	28	549	0	1	1
283	1	14	1	0	28	549	0	1	0
283	2	14	1	0	28	549	0	1	1
284	1	1	87	0	28	549	0	1	0
284	2	1	87	0	28	549	0	1	1
285	1	11	58	0	28	549	0	1	0
285	2	11	58	0	28	549	0	1	1
286	1	15	12	0	28	549	0	1	0
286	2	15	12	0	28	549	0	1	1
287	1	6	91	0	28	549	0	1	0
287	2	6	91	0	28	549	0	1	1
288	1	10	63	0	28	549	0	1	0
288	2	10	63	0	28	549	0	1	1
289	1	5	20	0	28	549	0	1	0
289	2	5	20	0	28	549	0	1	1
290	1	13	94	0	28	549	0	1	0
290	2	13	94	0	28	549	0	1	1
291	1	3	96	0	28	549	0	1	0
291	2	3	96	0	28	549	0	1	1
292	1	8	71	0	28	549	0	1	0
292	2	8	71	0	28	549	0	1	1
